Time,Buffer,Buffer,Buffer,M24 80,M24 40,M24 20,M24 10,M24 5
145.5,2725,2511,2443,71320,47405,24317,12726,5266
146,2720,2525,2426,71084,47230,24354,12597,5352
146.5,2777,2456,2379,71410,47539,24200,12681,5302
147,2712,2417,2391,71428,47077,24165,12693,5286
147.5,2712,2533,2386,71651,47217,24268,12737,5281
148,2690,2402,2310,71124,47213,24128,12760,5264
148.5,2675,2468,2393,71026,46756,23992,12658,5330
149,2694,2411,2394,71012,46866,24008,12529,5250
149.5,2688,2535,2448,70919,47137,24292,12545,5273
150,2730,2477,2418,71110,47100,24210,12683,5265
150.5,2721,2622,2527,70723,47195,23982,12713,5205
151,2666,2415,2388,71552,46968,23995,12654,5167
151.5,2737,2437,2374,71465,46592,24108,12700,5157
152,2713,2390,2466,70914,46935,24066,12544,5075
152.5,2710,2542,2505,71195,46631,23911,12421,4999
153,2770,2444,2406,71023,47090,24058,12537,5108
153.5,2747,2479,2437,70776,47162,24312,12521,5084
154,2645,2432,2497,70439,46742,23950,12648,5046
154.5,2702,2485,2422,70391,46724,24054,12366,5012
155,2747,2456,2450,70520,46837,23832,12539,5040
155.5,2758,2527,2423,70311,46855,23818,12662,5054
156,2721,2398,2368,70124,46998,24002,12504,5071
156.5,2710,2474,2407,69790,46470,24021,12610,4900
157,2734,2454,2415,70395,46742,24082,12614,5014
157.5,2701,2492,2430,70315,46636,24146,12585,5023
158,2725,2439,2368,70414,46762,23772,12540,5006
158.5,2727,2554,2466,70769,46468,23722,12536,5024
159,2710,2500,2450,70022,47042,23792,12492,5018
159.5,2697,2448,2405,69724,46794,23967,12603,5016
160,2784,2414,2394,69987,46760,23952,12539,5077
160.5,2705,2444,2410,70007,46702,23688,12503,4993
161,2761,2496,2374,69442,46656,23836,12498,4995
161.5,2722,2499,2445,69748,46409,23915,12341,4957
162,2687,2463,2412,69478,46148,23676,12424,4923
162.5,2700,2504,2521,69627,46866,23928,12327,4859
163,2723,2458,2392,69793,46200,23904,12418,4972
163.5,2757,2445,2386,69884,46743,23707,12581,4890
164,2670,2447,2383,69345,46576,23830,12532,4927
164.5,2688,2494,2406,69654,46707,23736,12574,4964
165,2735,2520,2425,69140,46326,23888,12440,4972
165.5,2702,2461,2493,69330,46213,23814,12445,4960
166,2706,2467,2422,69481,46240,23656,12486,4938
166.5,2704,2505,2418,69824,46426,23824,12386,4913
167,2692,2409,2486,69236,46465,23807,12350,4852
167.5,2712,2498,2441,69260,46358,23871,12480,4774
168,2666,2486,2398,69518,46265,23708,12409,4698
168.5,2722,2576,2450,69644,46014,23773,12260,4757
169,2709,2438,2385,68716,45742,23737,12364,4808
169.5,2690,2397,2396,69252,46346,23782,12359,4832
170,2680,2494,2420,68579,45738,23733,12436,4844
170.5,2751,2401,2361,68826,45699,23604,12396,4784
171,2716,2395,2436,68766,46206,23789,12444,4789
171.5,2751,2521,2431,68668,45793,23782,12593,4782
172,2742,2461,2396,68821,45600,23554,12355,4736
172.5,2699,2428,2363,68172,45901,23613,12345,4813
173,2680,2503,2425,68594,45571,23563,12435,4738
173.5,2740,2483,2336,68524,45656,23404,12166,4821
174,2732,2371,2415,68746,45538,23697,12340,4771
174.5,2764,2421,2364,68261,45592,23452,12391,4742
175,2696,2396,2398,68106,45443,23540,12337,4657
175.5,2673,2526,2466,68534,45709,23543,12469,4700
176,2714,2457,2488,68539,45851,23525,12388,4756
176.5,2714,2480,2400,67902,45281,23636,12328,4783
177,2657,2380,2366,68014,45472,23471,12311,4730
177.5,2698,2472,2480,68080,45190,23484,12280,4744
178,2712,2472,2356,68399,45935,23493,12342,4746
178.5,2652,2502,2567,68087,45560,23350,12400,4724
179,2706,2461,2342,68325,45516,23706,12332,4666
179.5,2673,2481,2448,67826,45636,23416,12306,4737
180,2705,2410,2350,67713,45317,23358,12266,4732
180.5,2682,2520,2412,67768,45142,23456,12312,4761
181,2670,2436,2339,67476,45507,23491,12421,4768
181.5,2693,2420,2369,68060,45234,23508,12308,4693
